,0,1
0,0,wiI7pd
1,1,"Ordered tacos, half way through found a dead lady bug in one and a dead fly in another. Shows they don’t wash their lettuce properly nor maintain cleanliness. The health inspector needs to pay them a visit"
2,2,"I was probably the first customer of the day and  the service was great (calm, professional, and patient) and the food tastes delicious. As a person who has been a server, I know how hard it is to be 100% setup when you unlock the door-- very impressive!"
3,3,"Place was a mess. I almost took a pic of the bathroom but that would've been unnecessary seeing as how almost every recent review of this place is a 1 or 2 star. Firstly, the guy who made my food the first time I went consistently put more …"
4,4,This might be the worst chipotle to exist. I’ve never experienced a friendly worker when going inside. Delivery? Forget about it. Your order will be entirely wrong. It’s apparently too difficult to simply read a receipt and give someone …
5,5,My family had worst experience at this Chipotle location. Staff is not friendly at all. My toddler want to use rest room on urgent basis & they already closed the rest rooms one hour before the store closing time. They don’t have any …
6,6,"We have been coming to this location since it was opened.  In the last few months, and you can see from other recent reviews that not only the service has become nonexistent, the portion of the food also shrunk.  The last two visits, our …"
7,7,"Food looks good but I got the smallest potion from any chipotle ever. I actually couldn’t believe it, the girl serving meat gave me maybe 5 pieces of chicken total. Going to a different location next time"
8,8,"Service was fast and the chicken was good but that was about it. Chips were burned/over cooked, lettuce was on the warm side and didn’t look the best. Could have been a lot better."
9,9,Good transportation and food. The customer service was terrible. I was standing line and I did not get any service. So I stand in the pick up line and the worker finally saw me when two other customers came in. …
10,10,AGAIN the fajita vegetables are so overcooked they are totally mush! Also I get attitude from the servers whenever I ask for them to please drain the beans and vegetables before putting them into my bowl. It's supposed to be a burrito bowl …
11,11,"Understand staffs may have been stretched, but compromising how you serve and handle food is unacceptable. We bought 2 burritos and both are so badly done, before we even pick the food it was leaking, things were out and we could hardly eat …"
12,12,This company is suing sweetgreen for using the spice Chipotle in its new bowl. Literally never eating here again. Your food isn’t even healthy! Greedy corrupt corporation.
13,13,First time trying Chipotle and I see what all the uproar is about! I had the bowl with white pinto bean chicken and steak fajita vegetables fresh tomatoe salsa sour cream and cheese everything blended together perfect freash and the meat …
14,14,Never had the greatest experiences with thus location. I frequent Chipotle often and this might be the worst location on average I've visited. …
15,15,"It was 9:30pm. They close at 10pm. Restroom is unavailable already. I’m pregnant and cannot hold it (considering that I live in suburbs). Still no way I could use that restroom.
Thanks a lot 👍🏼 …"
16,16,BATHROOM CODE IS 2580 - REFUSED TO GIVE ME WATER CUP WITH BURRITO
17,17,Always out of ingredients and staff is nonchalant and manager Lorena refused a refund for my order then offers chips (that are always stake) for an order that I decided I did not want.
18,18,Pretty sad they gave me brown lettuce in my Burrito bowl. Lettuce isnt even exspensive. I'm done with this place. Never again. Too many Complaints from this chain. Close the doors in all the ones in Chicago. Terrible presentation. Who wants brown slimy lettuce through out their Burrito bowl
19,19,It gets a little crowded. But the food is good.
20,20,This is my fave chipotle downtown. Nice ppl and know my order which is nice!!
21,21,It's always been very fast even when the line is long.
22,22,"Truly the worst chipotle in existence. They are SO skimpy on literally every ingredient (if they even have all the ingredients there, which they usually don’t). …"
23,23,"Patricia was a doll!! Thank you for being so kind and patient, not only with me but all the guests in front of me as well. You guys have the right person working the front ✨"
24,24,Your typical Chipotle with great food that you will love. It does get busy during the week and the seating is pretty limited. Also the past two times I've been in here I have almost slipped on the floor due to rain or snow. They should put …
25,25,"This is the ideal chipotle. They hook it up and aren’t busy and they always have everything, unlike most chipotles. Workers are the best!!"
26,26,"This location is a mess. Online orders are frequently late and/or incorrect. Multiple reviews here mention seeing roaches. They have a contactless pickup shelf for the many takeout orders they get but they almost never use it, so all the …"
27,27,This is the worst chipotle I’ve ever been to hands down. Management is non-existent here. 5th time in a row without chips and waiting on cooked chicken.
28,28,The lady in front of me complained that her rice wasn't done. She had to have them remake it. They never swapped out the old nasty rice and we're going to continue to serve it to future customers.  Apparently they have a homeless problem …
29,29,"We love Mexican and walked by this spot on Michigan Avenue a number of times. It was a deceptively small window-front and you could see people sitting on stools at the little ""bar"" eating their food while looking out at you on the sidewalk. …"
30,30,"All burrito bowls were wrong when I ordered online to pickup. The burrito bowls also had very very little amount of lettuce, there was also way too many beans and not enough meat. It was still good, just not how I wanted it because there …"
31,31,"No problem with the place for grabbing a quick lunch, but today I noticed just how absolutely tastless the burrito was. When got to the gristle taste I actually knew it had steak. No tomato, sour cream, veggies taste at all. I did taste the pop though."
32,32,"My usual chipotle spot. I decided to stop by for a delicious bowl after school today. As I slowly opened the doors to the mediocre sometimes delicious Mexican chain, I was appalled at the sight of an employee filling up the cheese container …"
33,33,"I have had a handful of normal meals at this Chipotle location. Unfortunately today, I made an online order, and the ""burrito"" that was made for my order was not only completely wrong, but so covered in sour cream (that I did not order), that it was closer to a soup than a burrito."
34,34,"Let me start by saying Chipotle is my favorite fast food chain and I've had hundreds of bowls within the last few years. This location though is very disappointing. I've ate here 3 times and each time the bowls were tasteless, rice was dry …"
35,35,"Good vibe and helpful staff! I went in to grab an order and deliver it to a customer on my bike. They got my order made exactly how the customer wanted it (and specifically drained the mild salsa for me before it leaked all over the inside of my bag). They got through the line quickly too, which is major points from me!"
36,36,The employees need to be trained on proper sanitation they wear gloves but do a lot of touching other things besides food with gloves like pulling up their mask over their nose when customers comes in...why is it down to begin with? She was …
37,37,"If you've been to Chipotle, you know what you're getting. This location is a busy, popular spot and the quality has never disappointed. The staff are friendly and helpful. It can get quite crowded during lunch, but the line moves well enough. Convenient if you're in River North or catching the Red Line."
38,38,"My and husband and I were regulars here . Every day I’d get a steak bowl , until one of their employees Tamara Chandler informed us of their pest problem. She told us they have mice and roaches. We haven’t been back since . I have strong suggest you don’t here until they get it under control."
39,39,"If you love burritos you'll love Chipotle.  It has been popping up everywhere in the last few years.  This location has extremely quick service, and since you watch them put together your burrito - it can't be screwed up!  I get a chicken burrito 9/10 times."
40,40,"🤠🍽️               🌟🌟🌟🌟+
The facility was very clean, the food was fresh, the staff was very friendly and professional. Nice location, close to the subway at Grand and State. the …"
41,41,I ordered online to pick up at the restaurant. The meal was ready right on time which was nice. But it tastes like it's 2 days old. The rice is HARD and it does not taste warm. I am very unhappy.
42,42,"Rude service,Bad food , Purposely give smaller portions to make people pay double Won’t give bathroom service code if you wait in line until you pay smh"
43,43,Place was clean. Service was fast and polite. Great food although since it was downtown they did charge an extra dollar more to the menu for example rather than the veggie being $6.50 it was $7.50 which I thought was odd.
44,44,"Staff is horrible. I come here at least once a week since it’s close by but I’m never greeted and they are extremely slow. Even when there is no line, staff members are usually checking their phone and gossiping with each other while I was …"
45,45,"Horrible experience. I placed an online order, wasnt ready when I arrived...took 13 minutes after it was supposed to be ready before I even got my order which was sloppy as ever. I threw it away because the burrito was a mess. Employees were not very inviting. I don't recommend this location"
46,46,"This location was unclean. As soon as i walked in I was greeted with a nasty prep area, the griller worked on top of a nasty prep area and 4 people  passed by it and never cleaned it. I spoke to two managers about it and they stated they …"
