,0,1
0,"{'label': 'NEGATIVE', 'score': 0.9980689883232117}","{'label': 'NEGATIVE', 'score': 0.8684412240982056}"
1,"{'label': 'POSITIVE', 'score': 0.9791042804718018}","{'label': 'NEGATIVE', 'score': 0.9995095729827881}"
2,"{'label': 'POSITIVE', 'score': 0.9765188097953796}","{'label': 'POSITIVE', 'score': 0.9989309906959534}"
3,"{'label': 'POSITIVE', 'score': 0.9856259226799011}","{'label': 'NEGATIVE', 'score': 0.9995070695877075}"
4,"{'label': 'POSITIVE', 'score': 0.9880510568618774}","{'label': 'NEGATIVE', 'score': 0.9995096921920776}"
5,"{'label': 'POSITIVE', 'score': 0.9962224960327148}","{'label': 'NEGATIVE', 'score': 0.9995051622390747}"
6,"{'label': 'POSITIVE', 'score': 0.9897084832191467}","{'label': 'NEGATIVE', 'score': 0.9995061159133911}"
7,"{'label': 'POSITIVE', 'score': 0.9920334219932556}","{'label': 'NEGATIVE', 'score': 0.9995054006576538}"
8,"{'label': 'POSITIVE', 'score': 0.9948240518569946}","{'label': 'NEGATIVE', 'score': 0.9994576573371887}"
9,"{'label': 'POSITIVE', 'score': 0.9941044449806213}","{'label': 'NEGATIVE', 'score': 0.9994000196456909}"
10,"{'label': 'POSITIVE', 'score': 0.9960523843765259}","{'label': 'NEGATIVE', 'score': 0.9995094537734985}"
11,"{'label': 'POSITIVE', 'score': 0.9889978766441345}","{'label': 'NEGATIVE', 'score': 0.9995167255401611}"
12,"{'label': 'POSITIVE', 'score': 0.983647882938385}","{'label': 'NEGATIVE', 'score': 0.9994964599609375}"
13,"{'label': 'POSITIVE', 'score': 0.9910992980003357}","{'label': 'POSITIVE', 'score': 0.9989070892333984}"
14,"{'label': 'POSITIVE', 'score': 0.9854974150657654}","{'label': 'NEGATIVE', 'score': 0.9995077848434448}"
15,"{'label': 'POSITIVE', 'score': 0.9930229187011719}","{'label': 'NEGATIVE', 'score': 0.991733193397522}"
16,"{'label': 'POSITIVE', 'score': 0.987947404384613}","{'label': 'NEGATIVE', 'score': 0.9994797110557556}"
17,"{'label': 'POSITIVE', 'score': 0.9872086644172668}","{'label': 'NEGATIVE', 'score': 0.9995080232620239}"
18,"{'label': 'POSITIVE', 'score': 0.9910047054290771}","{'label': 'NEGATIVE', 'score': 0.9995067119598389}"
19,"{'label': 'POSITIVE', 'score': 0.9922189712524414}","{'label': 'POSITIVE', 'score': 0.9987618923187256}"
20,"{'label': 'POSITIVE', 'score': 0.993965208530426}","{'label': 'POSITIVE', 'score': 0.9989209175109863}"
21,"{'label': 'POSITIVE', 'score': 0.9909215569496155}","{'label': 'POSITIVE', 'score': 0.9988386034965515}"
22,"{'label': 'POSITIVE', 'score': 0.9934905767440796}","{'label': 'NEGATIVE', 'score': 0.9995102882385254}"
23,"{'label': 'POSITIVE', 'score': 0.9900857210159302}","{'label': 'POSITIVE', 'score': 0.9989196062088013}"
24,"{'label': 'POSITIVE', 'score': 0.9884483218193054}","{'label': 'POSITIVE', 'score': 0.9986339211463928}"
25,"{'label': 'POSITIVE', 'score': 0.9878243207931519}","{'label': 'POSITIVE', 'score': 0.9989123344421387}"
26,"{'label': 'POSITIVE', 'score': 0.991046130657196}","{'label': 'NEGATIVE', 'score': 0.9995090961456299}"
27,"{'label': 'POSITIVE', 'score': 0.9811164140701294}","{'label': 'NEGATIVE', 'score': 0.9995081424713135}"
28,"{'label': 'POSITIVE', 'score': 0.9873371720314026}","{'label': 'NEGATIVE', 'score': 0.9994726777076721}"
29,"{'label': 'POSITIVE', 'score': 0.9898071885108948}","{'label': 'POSITIVE', 'score': 0.9988980293273926}"
30,"{'label': 'POSITIVE', 'score': 0.9811806678771973}","{'label': 'NEGATIVE', 'score': 0.9994235038757324}"
31,"{'label': 'POSITIVE', 'score': 0.9644129872322083}","{'label': 'NEGATIVE', 'score': 0.9995098114013672}"
32,"{'label': 'POSITIVE', 'score': 0.9927029609680176}","{'label': 'NEGATIVE', 'score': 0.9994615912437439}"
33,"{'label': 'POSITIVE', 'score': 0.9885003566741943}","{'label': 'NEGATIVE', 'score': 0.9995088577270508}"
34,"{'label': 'POSITIVE', 'score': 0.9928855299949646}","{'label': 'NEGATIVE', 'score': 0.9995105266571045}"
35,"{'label': 'POSITIVE', 'score': 0.984887421131134}","{'label': 'POSITIVE', 'score': 0.9988890290260315}"
36,"{'label': 'POSITIVE', 'score': 0.9838566780090332}","{'label': 'NEGATIVE', 'score': 0.9994762539863586}"
37,"{'label': 'POSITIVE', 'score': 0.9874588251113892}","{'label': 'POSITIVE', 'score': 0.9989113807678223}"
