Unnamed: 0,0,1,0,wiI7pd
0,"{'label': 'NEGATIVE', 'score': 0.9980689883232117}","{'label': 'NEGATIVE', 'score': 0.8684412240982056}",1.0,"Ordered tacos, half way through found a dead lady bug in one and a dead fly in another. Shows they don’t wash their lettuce properly nor maintain cleanliness. The health inspector needs to pay them a visit"
1,"{'label': 'POSITIVE', 'score': 0.9791042804718018}","{'label': 'NEGATIVE', 'score': 0.9995095729827881}",2.0,"I was probably the first customer of the day and  the service was great (calm, professional, and patient) and the food tastes delicious. As a person who has been a server, I know how hard it is to be 100% setup when you unlock the door-- very impressive!"
2,"{'label': 'POSITIVE', 'score': 0.9765188097953796}","{'label': 'POSITIVE', 'score': 0.9989309906959534}",3.0,"Place was a mess. I almost took a pic of the bathroom but that would've been unnecessary seeing as how almost every recent review of this place is a 1 or 2 star. Firstly, the guy who made my food the first time I went consistently put more …"
3,"{'label': 'POSITIVE', 'score': 0.9856259226799011}","{'label': 'NEGATIVE', 'score': 0.9995070695877075}",4.0,This might be the worst chipotle to exist. I’ve never experienced a friendly worker when going inside. Delivery? Forget about it. Your order will be entirely wrong. It’s apparently too difficult to simply read a receipt and give someone …
4,"{'label': 'POSITIVE', 'score': 0.9880510568618774}","{'label': 'NEGATIVE', 'score': 0.9995096921920776}",5.0,My family had worst experience at this Chipotle location. Staff is not friendly at all. My toddler want to use rest room on urgent basis & they already closed the rest rooms one hour before the store closing time. They don’t have any …
5,"{'label': 'POSITIVE', 'score': 0.9962224960327148}","{'label': 'NEGATIVE', 'score': 0.9995051622390747}",6.0,"We have been coming to this location since it was opened.  In the last few months, and you can see from other recent reviews that not only the service has become nonexistent, the portion of the food also shrunk.  The last two visits, our …"
6,"{'label': 'POSITIVE', 'score': 0.9897084832191467}","{'label': 'NEGATIVE', 'score': 0.9995061159133911}",7.0,"Food looks good but I got the smallest potion from any chipotle ever. I actually couldn’t believe it, the girl serving meat gave me maybe 5 pieces of chicken total. Going to a different location next time"
7,"{'label': 'POSITIVE', 'score': 0.9920334219932556}","{'label': 'NEGATIVE', 'score': 0.9995054006576538}",8.0,"Service was fast and the chicken was good but that was about it. Chips were burned/over cooked, lettuce was on the warm side and didn’t look the best. Could have been a lot better."
8,"{'label': 'POSITIVE', 'score': 0.9948240518569946}","{'label': 'NEGATIVE', 'score': 0.9994576573371887}",9.0,Good transportation and food. The customer service was terrible. I was standing line and I did not get any service. So I stand in the pick up line and the worker finally saw me when two other customers came in. …
9,"{'label': 'POSITIVE', 'score': 0.9941044449806213}","{'label': 'NEGATIVE', 'score': 0.9994000196456909}",10.0,AGAIN the fajita vegetables are so overcooked they are totally mush! Also I get attitude from the servers whenever I ask for them to please drain the beans and vegetables before putting them into my bowl. It's supposed to be a burrito bowl …
10,"{'label': 'POSITIVE', 'score': 0.9960523843765259}","{'label': 'NEGATIVE', 'score': 0.9995094537734985}",11.0,"Understand staffs may have been stretched, but compromising how you serve and handle food is unacceptable. We bought 2 burritos and both are so badly done, before we even pick the food it was leaking, things were out and we could hardly eat …"
11,"{'label': 'POSITIVE', 'score': 0.9889978766441345}","{'label': 'NEGATIVE', 'score': 0.9995167255401611}",12.0,This company is suing sweetgreen for using the spice Chipotle in its new bowl. Literally never eating here again. Your food isn’t even healthy! Greedy corrupt corporation.
12,"{'label': 'POSITIVE', 'score': 0.983647882938385}","{'label': 'NEGATIVE', 'score': 0.9994964599609375}",13.0,First time trying Chipotle and I see what all the uproar is about! I had the bowl with white pinto bean chicken and steak fajita vegetables fresh tomatoe salsa sour cream and cheese everything blended together perfect freash and the meat …
13,"{'label': 'POSITIVE', 'score': 0.9910992980003357}","{'label': 'POSITIVE', 'score': 0.9989070892333984}",14.0,Never had the greatest experiences with thus location. I frequent Chipotle often and this might be the worst location on average I've visited. …
14,"{'label': 'POSITIVE', 'score': 0.9854974150657654}","{'label': 'NEGATIVE', 'score': 0.9995077848434448}",15.0,"It was 9:30pm. They close at 10pm. Restroom is unavailable already. I’m pregnant and cannot hold it (considering that I live in suburbs). Still no way I could use that restroom.
Thanks a lot 👍🏼 …"
15,"{'label': 'POSITIVE', 'score': 0.9930229187011719}","{'label': 'NEGATIVE', 'score': 0.991733193397522}",16.0,BATHROOM CODE IS 2580 - REFUSED TO GIVE ME WATER CUP WITH BURRITO
16,"{'label': 'POSITIVE', 'score': 0.987947404384613}","{'label': 'NEGATIVE', 'score': 0.9994797110557556}",17.0,Always out of ingredients and staff is nonchalant and manager Lorena refused a refund for my order then offers chips (that are always stake) for an order that I decided I did not want.
17,"{'label': 'POSITIVE', 'score': 0.9872086644172668}","{'label': 'NEGATIVE', 'score': 0.9995080232620239}",18.0,Pretty sad they gave me brown lettuce in my Burrito bowl. Lettuce isnt even exspensive. I'm done with this place. Never again. Too many Complaints from this chain. Close the doors in all the ones in Chicago. Terrible presentation. Who wants brown slimy lettuce through out their Burrito bowl
18,"{'label': 'POSITIVE', 'score': 0.9910047054290771}","{'label': 'NEGATIVE', 'score': 0.9995067119598389}",19.0,It gets a little crowded. But the food is good.
19,"{'label': 'POSITIVE', 'score': 0.9922189712524414}","{'label': 'POSITIVE', 'score': 0.9987618923187256}",20.0,This is my fave chipotle downtown. Nice ppl and know my order which is nice!!
20,"{'label': 'POSITIVE', 'score': 0.993965208530426}","{'label': 'POSITIVE', 'score': 0.9989209175109863}",21.0,It's always been very fast even when the line is long.
21,"{'label': 'POSITIVE', 'score': 0.9909215569496155}","{'label': 'POSITIVE', 'score': 0.9988386034965515}",22.0,"Truly the worst chipotle in existence. They are SO skimpy on literally every ingredient (if they even have all the ingredients there, which they usually don’t). …"
22,"{'label': 'POSITIVE', 'score': 0.9934905767440796}","{'label': 'NEGATIVE', 'score': 0.9995102882385254}",23.0,"Patricia was a doll!! Thank you for being so kind and patient, not only with me but all the guests in front of me as well. You guys have the right person working the front ✨"
23,"{'label': 'POSITIVE', 'score': 0.9900857210159302}","{'label': 'POSITIVE', 'score': 0.9989196062088013}",24.0,Your typical Chipotle with great food that you will love. It does get busy during the week and the seating is pretty limited. Also the past two times I've been in here I have almost slipped on the floor due to rain or snow. They should put …
24,"{'label': 'POSITIVE', 'score': 0.9884483218193054}","{'label': 'POSITIVE', 'score': 0.9986339211463928}",25.0,"This is the ideal chipotle. They hook it up and aren’t busy and they always have everything, unlike most chipotles. Workers are the best!!"
25,"{'label': 'POSITIVE', 'score': 0.9878243207931519}","{'label': 'POSITIVE', 'score': 0.9989123344421387}",26.0,"This location is a mess. Online orders are frequently late and/or incorrect. Multiple reviews here mention seeing roaches. They have a contactless pickup shelf for the many takeout orders they get but they almost never use it, so all the …"
26,"{'label': 'POSITIVE', 'score': 0.991046130657196}","{'label': 'NEGATIVE', 'score': 0.9995090961456299}",27.0,This is the worst chipotle I’ve ever been to hands down. Management is non-existent here. 5th time in a row without chips and waiting on cooked chicken.
27,"{'label': 'POSITIVE', 'score': 0.9811164140701294}","{'label': 'NEGATIVE', 'score': 0.9995081424713135}",28.0,The lady in front of me complained that her rice wasn't done. She had to have them remake it. They never swapped out the old nasty rice and we're going to continue to serve it to future customers.  Apparently they have a homeless problem …
28,"{'label': 'POSITIVE', 'score': 0.9873371720314026}","{'label': 'NEGATIVE', 'score': 0.9994726777076721}",29.0,"We love Mexican and walked by this spot on Michigan Avenue a number of times. It was a deceptively small window-front and you could see people sitting on stools at the little ""bar"" eating their food while looking out at you on the sidewalk. …"
29,"{'label': 'POSITIVE', 'score': 0.9898071885108948}","{'label': 'POSITIVE', 'score': 0.9988980293273926}",30.0,"All burrito bowls were wrong when I ordered online to pickup. The burrito bowls also had very very little amount of lettuce, there was also way too many beans and not enough meat. It was still good, just not how I wanted it because there …"
30,"{'label': 'POSITIVE', 'score': 0.9811806678771973}","{'label': 'NEGATIVE', 'score': 0.9994235038757324}",31.0,"No problem with the place for grabbing a quick lunch, but today I noticed just how absolutely tastless the burrito was. When got to the gristle taste I actually knew it had steak. No tomato, sour cream, veggies taste at all. I did taste the pop though."
31,"{'label': 'POSITIVE', 'score': 0.9644129872322083}","{'label': 'NEGATIVE', 'score': 0.9995098114013672}",32.0,"My usual chipotle spot. I decided to stop by for a delicious bowl after school today. As I slowly opened the doors to the mediocre sometimes delicious Mexican chain, I was appalled at the sight of an employee filling up the cheese container …"
32,"{'label': 'POSITIVE', 'score': 0.9927029609680176}","{'label': 'NEGATIVE', 'score': 0.9994615912437439}",33.0,"I have had a handful of normal meals at this Chipotle location. Unfortunately today, I made an online order, and the ""burrito"" that was made for my order was not only completely wrong, but so covered in sour cream (that I did not order), that it was closer to a soup than a burrito."
33,"{'label': 'POSITIVE', 'score': 0.9885003566741943}","{'label': 'NEGATIVE', 'score': 0.9995088577270508}",34.0,"Let me start by saying Chipotle is my favorite fast food chain and I've had hundreds of bowls within the last few years. This location though is very disappointing. I've ate here 3 times and each time the bowls were tasteless, rice was dry …"
34,"{'label': 'POSITIVE', 'score': 0.9928855299949646}","{'label': 'NEGATIVE', 'score': 0.9995105266571045}",35.0,"Good vibe and helpful staff! I went in to grab an order and deliver it to a customer on my bike. They got my order made exactly how the customer wanted it (and specifically drained the mild salsa for me before it leaked all over the inside of my bag). They got through the line quickly too, which is major points from me!"
35,"{'label': 'POSITIVE', 'score': 0.984887421131134}","{'label': 'POSITIVE', 'score': 0.9988890290260315}",36.0,The employees need to be trained on proper sanitation they wear gloves but do a lot of touching other things besides food with gloves like pulling up their mask over their nose when customers comes in...why is it down to begin with? She was …
36,"{'label': 'POSITIVE', 'score': 0.9838566780090332}","{'label': 'NEGATIVE', 'score': 0.9994762539863586}",37.0,"If you've been to Chipotle, you know what you're getting. This location is a busy, popular spot and the quality has never disappointed. The staff are friendly and helpful. It can get quite crowded during lunch, but the line moves well enough. Convenient if you're in River North or catching the Red Line."
37,"{'label': 'POSITIVE', 'score': 0.9874588251113892}","{'label': 'POSITIVE', 'score': 0.9989113807678223}",38.0,"My and husband and I were regulars here . Every day I’d get a steak bowl , until one of their employees Tamara Chandler informed us of their pest problem. She told us they have mice and roaches. We haven’t been back since . I have strong suggest you don’t here until they get it under control."
38,"{'label': 'POSITIVE', 'score': 0.9773023128509521}","{'label': 'NEGATIVE', 'score': 0.9994555115699768}",39.0,"If you love burritos you'll love Chipotle.  It has been popping up everywhere in the last few years.  This location has extremely quick service, and since you watch them put together your burrito - it can't be screwed up!  I get a chicken burrito 9/10 times."
39,"{'label': 'POSITIVE', 'score': 0.9853298664093018}","{'label': 'POSITIVE', 'score': 0.9988920092582703}",40.0,"🤠🍽️               🌟🌟🌟🌟+
The facility was very clean, the food was fresh, the staff was very friendly and professional. Nice location, close to the subway at Grand and State. the …"
40,"{'label': 'POSITIVE', 'score': 0.99446702003479}","{'label': 'POSITIVE', 'score': 0.9988679885864258}",41.0,I ordered online to pick up at the restaurant. The meal was ready right on time which was nice. But it tastes like it's 2 days old. The rice is HARD and it does not taste warm. I am very unhappy.
41,"{'label': 'POSITIVE', 'score': 0.992478609085083}","{'label': 'NEGATIVE', 'score': 0.9995076656341553}",42.0,"Rude service,Bad food , Purposely give smaller portions to make people pay double Won’t give bathroom service code if you wait in line until you pay smh"
42,"{'label': 'POSITIVE', 'score': 0.9956179857254028}","{'label': 'NEGATIVE', 'score': 0.9995046854019165}",43.0,Place was clean. Service was fast and polite. Great food although since it was downtown they did charge an extra dollar more to the menu for example rather than the veggie being $6.50 it was $7.50 which I thought was odd.
43,"{'label': 'POSITIVE', 'score': 0.994454562664032}","{'label': 'POSITIVE', 'score': 0.998598039150238}",44.0,"Staff is horrible. I come here at least once a week since it’s close by but I’m never greeted and they are extremely slow. Even when there is no line, staff members are usually checking their phone and gossiping with each other while I was …"
44,"{'label': 'POSITIVE', 'score': 0.9952560067176819}","{'label': 'NEGATIVE', 'score': 0.9995063543319702}",45.0,"Horrible experience. I placed an online order, wasnt ready when I arrived...took 13 minutes after it was supposed to be ready before I even got my order which was sloppy as ever. I threw it away because the burrito was a mess. Employees were not very inviting. I don't recommend this location"
45,"{'label': 'POSITIVE', 'score': 0.9902593493461609}","{'label': 'NEGATIVE', 'score': 0.9995114803314209}",46.0,"This location was unclean. As soon as i walked in I was greeted with a nasty prep area, the griller worked on top of a nasty prep area and 4 people  passed by it and never cleaned it. I spoke to two managers about it and they stated they …"
46,"{'label': 'POSITIVE', 'score': 0.9936645030975342}","{'label': 'NEGATIVE', 'score': 0.9994988441467285}",47.0,"I tried to order within Chipotle’s app twice and both times orders were never delivered! After complaining, Chipotle does nothing to correct the problem nor even try! Qdoba will not be my place to go!"
